COG,KO,COG2,COG3,COG4,func,name
COG0028,K13039,,,NA,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0028,K01652,,,NA,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0028,K12253,,,NA,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0028,K00156,,,NA,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0028,K03336,,,NA,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0028,K21428,,,NA,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0028,K00158,,,NA,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0028,K01576,,,NA,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0029,K00278,,,NA,H,Aspartate oxidase
COG0030,K00561,,,NA,J,16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)
COG0030,K02528,,,NA,J,16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)
COG0030,K14191,,,NA,J,16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)
COG0031,K21949,,,NA,E,Cysteine synthase
COG0031,K21148,,,NA,E,Cysteine synthase
COG0031,K19725,,,NA,E,Cysteine synthase
COG0031,K01738,,,NA,E,Cysteine synthase
COG0031,K17216,,,NA,E,Cysteine synthase
COG0031,K12339,,,NA,E,Cysteine synthase
COG0031,K22847,,,NA,E,Cysteine synthase
COG0033,K01835,,,NA,G,Phosphoglucomutase
COG0034,K00764,,,NA,F,Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035,K00761,,,NA,F,Uracil phosphoribosyltransferase
COG0036,K01783,,,NA,G,Pentose-5-phosphate-3-epimerase
COG0036,K14587,,,NA,G,Pentose-5-phosphate-3-epimerase
COG0036,K17195,,,NA,G,Pentose-5-phosphate-3-epimerase
COG0037,K21947,,,NA,J,tRNA(Ile)-lysidine synthase TilS/MesJ
COG0037,K14058,,,NA,J,tRNA(Ile)-lysidine synthase TilS/MesJ
COG0037,K04075,,,NA,J,tRNA(Ile)-lysidine synthase TilS/MesJ
COG0038,K03281,,,NA,P,H+/Cl- antiporter ClcA
COG0039,K00016,,,NA,C,Malate/lactate dehydrogenase
COG0039,K00024,,,NA,C,Malate/lactate dehydrogenase
COG0040,K00765,,,NA,E,ATP phosphoribosyltransferase
COG0041,K01588,,,NA,F,Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042,K05541,,,NA,J,tRNA-dihydrouridine synthase
COG0042,K05544,,,NA,J,tRNA-dihydrouridine synthase
COG0042,K05539,,,NA,J,tRNA-dihydrouridine synthase
COG0042,K05543,,,NA,J,tRNA-dihydrouridine synthase
COG0042,K05542,,,NA,J,tRNA-dihydrouridine synthase
COG0042,K05540,,,NA,J,tRNA-dihydrouridine synthase
COG0042,K05545,,,NA,J,tRNA-dihydrouridine synthase
COG0043,K16239,,,NA,H,3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0043,K01612,,,NA,H,3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0043,K20039,,,NA,H,3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0043,K22958,,,NA,H,3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0043,K03182,,,NA,H,3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0044,K01464,,,NA,F,Dihydroorotase or related cyclic amidohydrolase
COG0044,K01466,,,NA,F,Dihydroorotase or related cyclic amidohydrolase
COG0045,K01903,,,NA,C,Succinyl-CoA synthetase, beta subunit
COG0048,K02950,,,NA,J,Ribosomal protein S12
COG0048,K02973,,,NA,J,Ribosomal protein S12
COG0049,K02992,,,NA,J,Ribosomal protein S7
COG0049,K02989,,,NA,J,Ribosomal protein S7
COG0050,K02358,,,NA,J,Translation elongation factor EF-Tu, a GTPase
COG0050,K03242,,,NA,J,Translation elongation factor EF-Tu, a GTPase
COG0051,K02969,,,NA,J,Ribosomal protein S10
COG0051,K02946,,,NA,J,Ribosomal protein S10
COG0052,K02998,,,NA,J,Ribosomal protein S2
COG0052,K02967,,,NA,J,Ribosomal protein S2
COG0053,K13283,,,NA,P,Divalent metal cation (Fe/Co/Zn/Cd) transporter
COG0054,K00794,,,NA,H,6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)
COG0055,K02133,,,NA,C,FoF1-type ATP synthase, beta subunit
COG0055,K02112,,,NA,C,FoF1-type ATP synthase, beta subunit
COG0056,K02132,,,NA,C,FoF1-type ATP synthase, alpha subunit
COG0056,K02111,,,NA,C,FoF1-type ATP synthase, alpha subunit
COG0057,K03472,,,NA,G,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0057,K00134,,,NA,G,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0057,K00150,,,NA,G,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0058,K00688,,,NA,G,Glucan phosphorylase
COG0059,K00053,,,NA,EH,Ketol-acid reductoisomerase
COG0060,K01870,,,NA,J,Isoleucyl-tRNA synthetase
COG0061,K00858,,,NA,F,NAD kinase
COG0061,K19386,,,NA,F,NAD kinase
COG0062,K17759,,,NA,F,NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain
COG0063,K17758,,,NA,F,NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain
COG0063,K17757,,,NA,F,NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain
COG0064,K02434,,,NA,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit
COG0065,K20452,,,NA,E,Homoaconitase/3-isopropylmalate dehydratase large subunit
COG0065,K16792,,,NA,E,Homoaconitase/3-isopropylmalate dehydratase large subunit
COG0065,K01703,,,NA,E,Homoaconitase/3-isopropylmalate dehydratase large subunit
COG0066,K20453,,,NA,E,3-isopropylmalate dehydratase small subunit
COG0066,K01704,,,NA,E,3-isopropylmalate dehydratase small subunit
COG0066,K16793,,,NA,E,3-isopropylmalate dehydratase small subunit
COG0067,K00284,,,NA,E,Glutamate synthase domain 1
COG0068,K04656,,,NA,O,Hydrogenase maturation factor HypF (carbamoyltransferase)
COG0071,K13993,,,NA,O,Molecular chaperone IbpA, HSP20 family
COG0071,K04081,,,NA,O,Molecular chaperone IbpA, HSP20 family
COG0071,K04080,,,NA,O,Molecular chaperone IbpA, HSP20 family
COG0072,K01890,,,NA,J,Phenylalanyl-tRNA synthetase beta subunit
COG0073,K06878,,,NA,J,tRNA-binding EMAP/Myf domain
COG0074,K02381,,,NA,C,Succinyl-CoA synthetase, alpha subunit
COG0074,K01902,,,NA,C,Succinyl-CoA synthetase, alpha subunit
COG0075,K18608,,,NA,EF,Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG
COG0075,K13290,,,NA,EF,Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG
COG0075,K03430,,,NA,EF,Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG
COG0075,K00839,,,NA,EF,Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG
COG0076,K03341,,,NA,E,Glutamate or tyrosine decarboxylase or a related PLP-dependent protein
COG0076,K01580,,,NA,E,Glutamate or tyrosine decarboxylase or a related PLP-dependent protein
COG0076,K01634,,,NA,E,Glutamate or tyrosine decarboxylase or a related PLP-dependent protein
COG0076,K01593,,,NA,E,Glutamate or tyrosine decarboxylase or a related PLP-dependent protein
COG0076,K13745,,,NA,E,Glutamate or tyrosine decarboxylase or a related PLP-dependent protein
COG0076,K18933,,,NA,E,Glutamate or tyrosine decarboxylase or a related PLP-dependent protein
COG0077,K01713,,,NA,E,Prephenate dehydratase
COG0077,K19546,,,NA,E,Prephenate dehydratase
COG0077,K04518,,,NA,E,Prephenate dehydratase
COG0078,K13252,,,NA,E,Ornithine carbamoyltransferase
COG0078,K00611,,,NA,E,Ornithine carbamoyltransferase
COG0078,K09065,,,NA,E,Ornithine carbamoyltransferase
COG0079,K04720,,,NA,E,Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
COG0079,K00817,,,NA,E,Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
COG0079,K00815,,,NA,E,Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
COG0080,K02870,,,NA,J,Ribosomal protein L11
COG0080,K02867,,,NA,J,Ribosomal protein L11
COG0081,K02865,,,NA,J,Ribosomal protein L1
COG0081,K02863,,,NA,J,Ribosomal protein L1
COG0082,K01736,,,NA,E,Chorismate synthase
COG0083,K00872,,,NA,E,Homoserine kinase
COG0084,K03424,,,NA,N,Tat protein secretion system quality control protein TatD (DNase activity)
COG0085,K03043,,,NA,K,DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0085,K03021,,,NA,K,DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0085,K03045,,,NA,K,DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0085,K03002,,,NA,K,DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0085,K03010,,,NA,K,DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0085,K03044,,,NA,K,DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0085,K13798,,,NA,K,DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0086,K03006,,,NA,K,DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0086,K03042,,,NA,K,DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0086,K03041,,,NA,K,DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0086,K03018,,,NA,K,DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0086,K03046,,,NA,K,DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0086,K03024,,,NA,K,DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0087,K02925,,,NA,J,Ribosomal protein L3
COG0087,K02906,,,NA,J,Ribosomal protein L3
COG0088,K02930,,,NA,J,Ribosomal protein L4
COG0088,K02926,,,NA,J,Ribosomal protein L4
COG0089,K02892,,,NA,J,Ribosomal protein L23
COG0089,K02893,,,NA,J,Ribosomal protein L23
COG0090,K02938,,,NA,J,Ribosomal protein L2
COG0090,K02886,,,NA,J,Ribosomal protein L2
COG0091,K02890,,,NA,J,Ribosomal protein L22
COG0092,K02982,,,NA,J,Ribosomal protein S3
COG0092,K02985,,,NA,J,Ribosomal protein S3
COG0093,K02874,,,NA,J,Ribosomal protein L14
COG0093,K02894,,,NA,J,Ribosomal protein L14
COG0094,K02931,,,NA,J,Ribosomal protein L5
COG0094,K02868,,,NA,J,Ribosomal protein L5
COG0095,K03800,,,NA,H,Lipoate-protein ligase A
COG0095,K18821,,,NA,H,Lipoate-protein ligase A
COG0095,K16869,,,NA,H,Lipoate-protein ligase A
COG0096,K02957,,,NA,J,Ribosomal protein S8
COG0096,K02994,,,NA,J,Ribosomal protein S8
COG0097,K02940,,,NA,J,Ribosomal protein L6P/L9E
COG0097,K02933,,,NA,J,Ribosomal protein L6P/L9E
COG0098,K02988,,,NA,J,Ribosomal protein S5
COG0098,K02981,,,NA,J,Ribosomal protein S5
COG0099,K02964,,,NA,J,Ribosomal protein S13
COG0099,K02952,,,NA,J,Ribosomal protein S13
COG0100,K02948,,,NA,J,Ribosomal protein S11
COG0100,K02955,,,NA,J,Ribosomal protein S11
COG0101,K06173,,,NA,J,tRNA U38,U39,U40 pseudouridine synthase TruA
COG0101,K01855,,,NA,J,tRNA U38,U39,U40 pseudouridine synthase TruA
COG0101,K15452,,,NA,J,tRNA U38,U39,U40 pseudouridine synthase TruA
COG0102,K02871,,,NA,J,Ribosomal protein L13
COG0102,K02872,,,NA,J,Ribosomal protein L13
COG0103,K02960,,,NA,J,Ribosomal protein S9
COG0103,K02996,,,NA,J,Ribosomal protein S9
COG0104,K01939,,,NA,F,Adenylosuccinate synthase
COG0105,K00940,,,NA,F,Nucleoside diphosphate kinase
COG0106,K01814,,,NA,E,Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107,K02500,,,NA,E,Imidazole glycerol phosphate synthase subunit HisF
COG0108,K02858,,,NA,H,3,4-dihydroxy-2-butanone 4-phosphate synthase
COG0109,K02301,,,NA,HI,Polyprenyltransferase (heme O synthase)
COG0109,K02257,,,NA,HI,Polyprenyltransferase (heme O synthase)
COG0110,K22247,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K13018,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K21379,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K18234,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K19313,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K08280,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K00661,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K00638,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K17939,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K13006,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K00633,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K03818,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K19429,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0110,K15913,,,NA,R,Acetyltransferase (isoleucine patch superfamily)
COG0111,K16843,,,NA,HR,Phosphoglycerate dehydrogenase or related dehydrogenase
COG0111,K00058,,,NA,HR,Phosphoglycerate dehydrogenase or related dehydrogenase
COG0111,K12972,,,NA,HR,Phosphoglycerate dehydrogenase or related dehydrogenase
COG0111,K22982,,,NA,HR,Phosphoglycerate dehydrogenase or related dehydrogenase
COG0111,K03473,,,NA,HR,Phosphoglycerate dehydrogenase or related dehydrogenase
COG0112,K00600,,,NA,E,Glycine/serine hydroxymethyltransferase
COG0113,K01698,,,NA,H,Delta-aminolevulinic acid dehydratase, porphobilinogen synthase
COG0114,K01679,,,NA,C,Fumarate hydratase class II
COG0115,K00826,,,NA,EH,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0115,K02619,,,NA,EH,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0115,K00824,,,NA,EH,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0116,K16318,,,NA,J,23S rRNA G2445 N2-methylase RlmL
COG0116,K07444,,,NA,J,23S rRNA G2445 N2-methylase RlmL
COG0117,K01498,,,NA,H,Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD
COG0118,K02501,,,NA,E,Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH
COG0119,K09011,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0119,K01640,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0119,K01666,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0119,K18365,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0119,K10977,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0119,K05942,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0119,K01655,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0119,K02594,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0119,K18314,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0119,K01649,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0119,K21934,,,NA,E,Isopropylmalate/homocitrate/citramalate synthases
COG0120,K01807,,,NA,G,Ribose 5-phosphate isomerase
COG0121,K07008,,,NA,R,Predicted glutamine amidotransferase
COG0121,K18802,,,NA,R,Predicted glutamine amidotransferase
COG0122,K03660,,,NA,L,3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0122,K01247,,,NA,L,3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0123,K04768,,,NA,BQ,Acetoin utilization deacetylase AcuC or a related deacetylase
COG0124,K01892,,,NA,J,Histidyl-tRNA synthetase
COG0125,K00943,,,NA,F,Thymidylate kinase
COG0126,K00927,,,NA,G,3-phosphoglycerate kinase
COG0127,K02428,,,NA,F,Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family
COG0127,K01516,,,NA,F,Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family
COG0128,K00800,,,NA,E,5-enolpyruvylshikimate-3-phosphate synthase
COG0129,K01687,,,NA,EG,Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0129,K01690,,,NA,EG,Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0129,K22396,,,NA,EG,Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0129,K22216,,,NA,EG,Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0129,K13875,,,NA,EG,Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0129,K22186,,,NA,EG,Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0130,K03177,,,NA,J,tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA
COG0131,K01693,,,NA,E,Imidazoleglycerol phosphate dehydratase HisB
COG0132,K01935,,,NA,H,Dethiobiotin synthetase
COG0133,K01696,,,NA,E,Tryptophan synthase beta chain
COG0134,K01609,,,NA,E,Indole-3-glycerol phosphate synthase
COG0135,K01817,,,NA,E,Phosphoribosylanthranilate isomerase
COG0136,K15017,,,NA,E,Aspartate-semialdehyde dehydrogenase
COG0136,K00133,,,NA,E,Aspartate-semialdehyde dehydrogenase
COG0137,K01940,,,NA,E,Argininosuccinate synthase
COG0138,K00602,,,NA,F,AICAR transformylase/IMP cyclohydrolase PurH
COG0139,K01496,,,NA,E,Phosphoribosyl-AMP cyclohydrolase
COG0140,K01523,,,NA,E,Phosphoribosyl-ATP pyrophosphohydrolase
COG0141,K00013,,,NA,E,Histidinol dehydrogenase
COG0141,K15509,,,NA,E,Histidinol dehydrogenase
COG0142,K21268,,,NA,H,Geranylgeranyl pyrophosphate synthase
COG0142,K13787,,,NA,H,Geranylgeranyl pyrophosphate synthase
COG0142,K00805,,,NA,H,Geranylgeranyl pyrophosphate synthase
COG0142,K00795,,,NA,H,Geranylgeranyl pyrophosphate synthase
COG0142,K02523,,,NA,H,Geranylgeranyl pyrophosphate synthase
COG0142,K05355,,,NA,H,Geranylgeranyl pyrophosphate synthase
COG0142,K05356,,,NA,H,Geranylgeranyl pyrophosphate synthase
COG0142,K00804,,,NA,H,Geranylgeranyl pyrophosphate synthase
COG0142,K21275,,,NA,H,Geranylgeranyl pyrophosphate synthase
COG0142,K13789,,,NA,H,Geranylgeranyl pyrophosphate synthase
COG0143,K01874,,,NA,J,Methionyl-tRNA synthetase
COG0144,K03500,,,NA,J,16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family
COG0144,K22446,,,NA,J,16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family
COG0144,K14835,,,NA,J,16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family
COG0144,K11392,,,NA,J,16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family
COG0144,K15264,,,NA,J,16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family
COG0144,K15334,,,NA,J,16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family
COG0144,K22901,,,NA,J,16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family
COG0145,K01473,,,NA,EQ,N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit
COG0145,K10855,,,NA,EQ,N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit
COG0146,K10854,,,NA,EQ,N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit
COG0146,K01474,,,NA,EQ,N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit
COG0147,K01665,,,NA,EH,Anthranilate/para-aminobenzoate synthases component I
COG0147,K04781,,,NA,EH,Anthranilate/para-aminobenzoate synthases component I
COG0147,K01657,,,NA,EH,Anthranilate/para-aminobenzoate synthases component I
COG0147,K20159,,,NA,EH,Anthranilate/para-aminobenzoate synthases component I
COG0148,K01689,,,NA,G,Enolase
COG0149,K20905,,,NA,G,Triosephosphate isomerase
COG0149,K21910,,,NA,G,Triosephosphate isomerase
COG0149,K01803,,,NA,G,Triosephosphate isomerase
COG0150,K01933,,,NA,F,Phosphoribosylaminoimidazole (AIR) synthetase
COG0151,K01945,,,NA,F,Phosphoribosylamine-glycine ligase
COG0152,K01923,,,NA,F,Phosphoribosylaminoimidazole-succinocarboxamide synthase
COG0153,K00849,,,NA,G,Galactokinase
COG0154,K19837,,,NA,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
COG0154,K01457,,,NA,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
COG0154,K02433,,,NA,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
COG0154,K21801,,,NA,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
COG0154,K18541,,,NA,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
COG0154,K22601,,,NA,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
COG0154,K01426,,,NA,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
COG0155,K00381,,,NA,P,Sulfite reductase, beta subunit (hemoprotein)
COG0155,K00366,,,NA,P,Sulfite reductase, beta subunit (hemoprotein)
COG0155,K02229,,,NA,P,Sulfite reductase, beta subunit (hemoprotein)
COG0156,K00654,,,NA,H,7-keto-8-aminopelargonate synthetase or related enzyme
COG0156,K00639,,,NA,H,7-keto-8-aminopelargonate synthetase or related enzyme
COG0156,K00652,,,NA,H,7-keto-8-aminopelargonate synthetase or related enzyme
COG0156,K10915,,,NA,H,7-keto-8-aminopelargonate synthetase or related enzyme
COG0156,K00643,,,NA,H,7-keto-8-aminopelargonate synthetase or related enzyme
COG0157,K00767,,,NA,H,Nicotinate-nucleotide pyrophosphorylase
COG0157,K03813,,,NA,H,Nicotinate-nucleotide pyrophosphorylase
COG0158,K01086,,,NA,G,Fructose-1,6-bisphosphatase
COG0158,K03841,,,NA,G,Fructose-1,6-bisphosphatase
COG0159,K01695,,,NA,E,Tryptophan synthase alpha chain
COG0160,K00829,,,NA,E,4-aminobutyrate aminotransferase or related aminotransferase
COG0160,K15372,,,NA,E,4-aminobutyrate aminotransferase or related aminotransferase
COG0160,K13524,,,NA,E,4-aminobutyrate aminotransferase or related aminotransferase
COG0161,K21188,,,NA,H,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
COG0161,K19563,,,NA,H,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
